gu,crime,murder,robbery,rape,theft,assault,game,play,elem,sing,video,police,alcohol,midpop,highpop,cctv
강남구,2.915416567,1.166598031,2.668654615,2.811897991,2.841882082,2.735071989,1.047106945,2.58270826,1.371799276,0.225745527,-0.360585437,1.473504311,3.412688786,-0.087807415,-1.329605143,3.101628465
강동구,-0.134878373,-0.741389403,0.412545641,-0.707885824,-0.102837765,-0.031648214,0.392512162,0.355630931,0.271115735,0.002033743,0.25685538,-0.535819749,-0.43880848,0.802132606,-0.39061846,-0.352112049
강북구,-0.543960777,0.621458764,0.412545641,-0.560546036,-0.899830443,-0.201549154,1.200049651,0.066286239,-1.061290656,0.88671216,0.503831706,-0.200932406,-0.574860085,0.920791275,2.426341589,-0.986641276
강서구,0.467711891,1.439167664,0.090244359,0.102483008,0.310490944,0.626301503,0.74733924,1.039536567,1.661452839,0.998568052,-0.237097274,0.133954937,0.359196028,-0.503112759,-0.703614021,-0.622872077
관악구,0.804653207,0.894028398,1.379449487,0.78188314,0.88005395,0.666278195,0.264040288,1.039536567,0.15525431,0.591819355,-0.237097274,-0.200932406,-0.14147388,-2.401651471,-0.39061846,1.82430253
광진구,-0.138273248,0.348889131,-1.198960769,-0.224938742,0.399485164,-0.558007988,0.576043409,-0.775443775,-0.539914242,0.815531138,0.380343543,-0.200932406,-0.308198939,-0.621771428,-1.267006031,-0.660075745
구로구,0.621329972,0.621458764,1.057148205,-0.053042324,0.296647399,0.971100469,0.202863206,-0.494867104,0.039392885,0.703675247,-0.731049927,-0.535819749,-0.259220361,0.98012061,-0.077622899,1.040958631
금천구,-0.666176267,0.076319497,0.412545641,-0.462319511,-0.789082081,-0.551345206,-0.690322199,-0.529939188,-1.119221369,-0.597920585,-0.85453809,-1.540481779,-0.924141661,1.810731297,-0.140222011,-0.605303679
노원구,-0.060191129,-0.196250136,-0.232056923,-0.511432774,-0.286759152,0.229865977,-0.696439908,-1.012180342,2.356621391,0.327432701,0.503831706,-0.535819749,-0.640164856,0.861461941,-0.077622899,-0.324209298
도봉구,-1.55223857,-1.28652867,-0.232056923,-1.174461818,-1.55443237,-1.489131765,1.200049651,-0.977108258,-0.366122104,-0.048809844,-0.85453809,-0.535819749,-1.199708004,1.276767284,1.424755794,-1.407249412
동대문구,-0.337722138,-1.013959036,-0.232056923,-0.912524418,-0.237317919,-0.269842669,-0.6169097,-0.240594496,-0.308191391,-0.506402128,-0.4840736,0.468842281,-0.342335523,-1.037076772,0.798764672,-0.223966081
동작구,-0.829978973,-0.741389403,0.412545641,0.258008339,-0.82270212,-0.986091728,-0.629145117,-0.810515859,-0.481983529,-0.57758315,0.133367216,-0.870707093,-0.776216461,-1.155735441,0.047575325,-0.454422136
마포구,0.928566135,0.076319497,0.090244359,1.772333934,0.878076301,0.721246146,-1.430564898,-0.398418873,-0.366122104,-0.30302778,-0.4840736,-0.535819749,1.486692787,-1.39305278,-0.891411358,-0.294239677
서대문구,-1.08289714,-0.196250136,-0.876659487,-0.413206249,-0.99871291,-1.194303664,-1.026796153,-0.828051901,-0.71370638,-0.791126216,2.10917783,-0.535819749,-0.478881862,-0.977747437,0.673566447,-0.102020725
서초구,0.550037603,-0.196250136,-0.232056923,1.747777303,0.561652409,0.253185714,-0.151963873,-0.091538139,-0.076468541,0.652831659,-0.4840736,0.468842281,0.616951978,-0.087807415,-1.204406919,0.635852024
성동구,-1.375705085,-1.013959036,-0.232056923,-1.068049749,-1.123304817,-1.529108457,-0.298788871,-1.073556489,-0.655775667,-0.780957499,-0.85453809,-0.200932406,-0.700027562,-0.325124754,-0.578415797,0.474636129
성북구,-0.879204656,0.348889131,-1.521262051,-0.601473755,-0.796992678,-0.926126691,-0.831029489,-1.003412321,0.444907873,-0.770788782,-0.11360911,0.133954937,-0.465524068,-0.384454089,0.360570886,0.809469141
송파구,1.467502497,-0.196250136,0.090244359,0.429904758,1.552454721,1.485800374,0.649455908,0.574831455,2.009037115,2.55438182,2.973594974,0.133954937,0.931602237,-0.14713675,-1.454803368,-0.654908569
양천구,-0.47776072,-1.013959036,-0.554358205,-1.117163012,-0.361909827,-0.396435526,-0.40890762,-0.968340237,0.676630724,-0.038641126,-0.607561764,-0.535819749,-0.810353046,1.454755288,-1.204406919,0.573845911
영등포구,1.495510214,3.074585465,0.734846923,1.101119346,1.433795761,1.480803288,0.814634031,1.811122413,-0.539914242,0.88671216,-0.85453809,0.133954937,0.740140523,0.327497928,-0.453217572,0.284484048
용산구,-0.566027463,-1.28652867,-0.876659487,0.609986721,-0.931472833,-0.438077913,-2.127983639,-0.477331062,-1.061290656,-1.746985655,-0.85453809,-0.535819749,-0.118716157,-0.26579542,0.485769111,-0.161959968
은평구,-0.414106819,0.621458764,-1.521262051,-0.560546036,-0.571540655,-0.213209022,1.848526726,0.285486763,0.850422862,-0.394546236,-0.607561764,-0.200932406,-0.628291261,0.446156597,0.923962896,0.767098297
종로구,-0.329234951,0.076319497,-0.876659487,-0.167639936,-0.166122543,-0.468060432,-1.295975317,1.32888126,-0.945429231,-1.482599002,1.985689667,3.48282837,1.148790072,-0.384454089,1.174359345,-0.77375362
중구,-0.040670599,-1.013959036,1.701750769,-0.405020705,0.569563006,-0.4797203,-0.249847205,1.135984798,-1.293013507,-1.777491808,-0.360585437,1.808391654,0.67285682,-0.206466085,1.174359345,-0.698312849
중랑구,0.178298821,-0.468819769,-0.876659487,-0.675143649,-0.081083622,0.563005075,1.512052772,-0.538707209,-0.308191391,1.171436249,0.133367216,-0.535819749,-0.561997024,1.09877928,0.673566447,-1.190228015
